名前	カレーの食べ方
対馬 明	左ルー・別口派
大内 璃奈子	ぶっかけ・ルー攻め派
脇田 涼	別盛り・ルー攻め派
パンツェッタ 利夫	左ルー・混ぜ混ぜ派
藤野 仁晶	ぶっかけ・せき止め派
松村 ケンイチ	右ルー・別口派
野崎 翔	奥ルー・ナン派
立川 鉄二	ぶっかけ・混ぜ混ぜ派
福永 恭子	左ルー・ナン派
神崎 エリカ	手前ルー・別口派
三船 夏希	左ルー・混ぜ混ぜ派
山元 郁恵	奥ルー・混ぜ混ぜ派
金城 さとみ	ぶっかけ・ナン派
蛍原 徹平	左ルー・ルー攻め派
岸田 信輔	右ルー・別口派
阿部 璃奈子	ぶっかけ・ナン派
土屋 豊	ぶっかけ・せき止め派
富岡 雅功	ぶっかけ・ルー攻め派
志村 哲平	ぶっかけ・混ぜ混ぜ派
塚原 輝信	左ルー・別口派
神保 一代	ぶっかけ・せき止め派
長野 基祐	右ルー・ルー攻め派
角 満	左ルー・せき止め派
安井 美紀	ぶっかけ・混ぜ混ぜ派
大塚 綾	奥ルー・ルー攻め派
森井 照生	手前ルー・混ぜ混ぜ派
稲田 しほり	右ルー・せき止め派
岩下 将也	奥ルー・せき止め派
染谷 染五郎	ぶっかけ・せき止め派
西沢 明	ぶっかけ・別口派
岡田 美嘉	ぶっかけ・せき止め派
大坪 俊二	右ルー・せき止め派
小幡 寿々花	右ルー・混ぜ混ぜ派
田淵 沙知絵	ぶっかけ・混ぜ混ぜ派
湊 由宇	奥ルー・せき止め派
西田 聡	ぶっかけ・別口派
沢村 惇	左ルー・別口派
竹下 竜也	左ルー・ルー攻め派
山崎 薫	右ルー・別口派
森口 右京	左ルー・せき止め派
小西 千佳子	右ルー・混ぜ混ぜ派
金井 なつみ	ぶっかけ・ナン派
菅原 光臣	右ルー・混ぜ混ぜ派
村木 拓郎	左ルー・ルー攻め派
古田 一徳	左ルー・ルー攻め派
川村 みゆき	左ルー・ルー攻め派
高柳 菜々美	左ルー・ルー攻め派
田中 南朋	右ルー・混ぜ混ぜ派
国分 美佐	左ルー・せき止め派
ユースケ 七世	奥ルー・せき止め派
土井 さやか	奥ルー・混ぜ混ぜ派
児島 雅彦	左ルー・別口派
本田 怜奈	奥ルー・別口派
藤山 花	ぶっかけ・ルー攻め派
山村 亮介	右ルー・ルー攻め派
北条 樹里	奥ルー・別口派
高梨 茜	左ルー・ルー攻め派
成田 恵梨香	右ルー・ルー攻め派
山田 一徳	左ルー・ルー攻め派
松山 一恵	ぶっかけ・せき止め派
松谷 徹	ぶっかけ・ルー攻め派
浜 俊介	左ルー・ルー攻め派
堀江 晃司	奥ルー・ルー攻め派
黒崎 有海	右ルー・混ぜ混ぜ派
本山 恵梨香	ぶっかけ・混ぜ混ぜ派
荒井 豊	ぶっかけ・別口派
砂川 亮	手前ルー・せき止め派
三沢 真帆	奥ルー・別口派
佐久間 恵梨香	右ルー・せき止め派
松岡 晴臣	ぶっかけ・混ぜ混ぜ派
小笠原 光	左ルー・せき止め派
塩見 右京	ぶっかけ・ルー攻め派
前川 蒼甫	左ルー・混ぜ混ぜ派
白井 新太	左ルー・ナン派
渋谷 マサカズ	左ルー・別口派
多部 守	右ルー・別口派
川口 フミヤ	左ルー・混ぜ混ぜ派
根岸 まなみ	右ルー・ナン派
平松 聖陽	左ルー・ナン派
高木 マサカズ	手前ルー・ナン派
福士 恵美	左ルー・せき止め派
余 真一	奥ルー・別口派
坂本 米蔵	手前ルー・せき止め派
勝田 茂樹	右ルー・混ぜ混ぜ派
有田 りえ	左ルー・別口派
大倉 美智子	奥ルー・せき止め派
畠山 かおり	ぶっかけ・せき止め派
高畑 啓介	奥ルー・ナン派
曽我 倫子	ぶっかけ・混ぜ混ぜ派
宮原 華子	別盛り・別口派
矢野 あや子	ぶっかけ・ルー攻め派
園田 浩正	手前ルー・せき止め派
遠山 美咲	右ルー・混ぜ混ぜ派
飯田 光	ぶっかけ・ルー攻め派
宮城 真奈美	手前ルー・ナン派
永瀬 ひかり	左ルー・せき止め派
高梨 莉沙	左ルー・せき止め派
北原 結子	ぶっかけ・せき止め派
椎名 丈雄	手前ルー・せき止め派
松浦 涼子	手前ルー・ルー攻め派
西村 隆博	左ルー・せき止め派
狩野 恵子	左ルー・ルー攻め派
大野 寿々花	右ルー・せき止め派
小原 沙知絵	左ルー・別口派
有田 華子	左ルー・ルー攻め派
三浦 鉄二	左ルー・ルー攻め派
塩見 小百合	ぶっかけ・ルー攻め派
萩原 広之	左ルー・せき止め派
勝地 祐一	奥ルー・別口派
藤村 一代	左ルー・混ぜ混ぜ派
伊東 長利	手前ルー・ルー攻め派
田村 法嗣	左ルー・せき止め派
小口 さやか	左ルー・混ぜ混ぜ派
松下 一	左ルー・別口派
広川 一代	ぶっかけ・せき止め派
長谷 憲一	奥ルー・ルー攻め派
平松 優	ぶっかけ・混ぜ混ぜ派
坂本 さとみ	左ルー・ナン派
森永 直人	右ルー・ルー攻め派
長瀬 真一	左ルー・混ぜ混ぜ派
石原 由宇	右ルー・ルー攻め派
米沢 雅之	ぶっかけ・ルー攻め派
貫地谷 礼子	右ルー・せき止め派
菅谷 晋也	ぶっかけ・ナン派
高沢 啓介	手前ルー・別口派
波多野 芽以	左ルー・せき止め派
宇都宮 光博	左ルー・せき止め派
平野 貴美子	手前ルー・せき止め派
川原 きみまろ	奥ルー・ルー攻め派
堀田 しぼり	左ルー・ルー攻め派
千田 佳乃	左ルー・せき止め派
細川 聡	ぶっかけ・混ぜ混ぜ派
畑 玲那	ぶっかけ・せき止め派
梅沢 はじめ	ぶっかけ・ルー攻め派
二宮 賢治	右ルー・せき止め派
明石 璃奈子	別盛り・せき止め派
細井 夏空	手前ルー・混ぜ混ぜ派
仲村 法嗣	別盛り・ルー攻め派
滝沢 鉄二	左ルー・ルー攻め派
菅野 直人	左ルー・混ぜ混ぜ派
沢村 はるみ	ぶっかけ・せき止め派
町田 友也	ぶっかけ・ナン派
関 詩織	左ルー・混ぜ混ぜ派
澤田 祐基	ぶっかけ・混ぜ混ぜ派
井沢 雅彦	別盛り・混ぜ混ぜ派
塚本 剛基	左ルー・ルー攻め派
北山 芳正	別盛り・別口派
工藤 隼士	左ルー・混ぜ混ぜ派
菊地 ヒロ	手前ルー・せき止め派
永井 洋介	ぶっかけ・別口派
島袋 めぐみ	手前ルー・別口派
今川 妃里	ぶっかけ・ルー攻め派
永井 みき	ぶっかけ・せき止め派
植田 ひとり	左ルー・せき止め派
柴山 瞳	別盛り・ルー攻め派
飛田 小百合	右ルー・せき止め派
武井 陽子	ぶっかけ・せき止め派
河野 美佐	別盛り・せき止め派
篠崎 めぐみ	左ルー・混ぜ混ぜ派
川添 ヒカル	左ルー・混ぜ混ぜ派
対馬 博之	ぶっかけ・せき止め派
大和田 京子	ぶっかけ・別口派
酒井 しぼり	ぶっかけ・せき止め派
岩永 千佳子	奥ルー・混ぜ混ぜ派
鳥居 努	ぶっかけ・せき止め派
美木 理紗	ぶっかけ・ルー攻め派
酒井 さやか	左ルー・ルー攻め派
日野 翔子	奥ルー・ナン派
勝地 なつみ	手前ルー・せき止め派
相原 宏	左ルー・別口派
大下 咲	左ルー・せき止め派
役所 璃子	左ルー・混ぜ混ぜ派
森田 啓介	左ルー・混ぜ混ぜ派
柏木 樹里	ぶっかけ・混ぜ混ぜ派
堀越 雅彦	左ルー・混ぜ混ぜ派
五大 夏希	奥ルー・別口派
小幡 達士	左ルー・混ぜ混ぜ派
柳沢 努	左ルー・せき止め派
有田 健	ぶっかけ・混ぜ混ぜ派
吉本 淳	ぶっかけ・混ぜ混ぜ派
山根 敦	右ルー・ルー攻め派
水野 瞬	ぶっかけ・ナン派
沢田 真奈美	奥ルー・ルー攻め派
沢村 マサカズ	手前ルー・ルー攻め派
石倉 かおり	奥ルー・混ぜ混ぜ派
山田 博明	奥ルー・せき止め派
大竹 一恵	ぶっかけ・ルー攻め派
宮野 優	右ルー・せき止め派
松沢 大樹	左ルー・せき止め派
岩下 菜々美	ぶっかけ・ルー攻め派
相沢 進	ぶっかけ・ナン派
正木 メイサ	右ルー・別口派
浅利 かおり	奥ルー・せき止め派
竹原 正義	左ルー・ルー攻め派
河西 努	奥ルー・別口派
井沢 長利	右ルー・せき止め派
玉井 輝信	ぶっかけ・せき止め派
浦田 美幸	左ルー・せき止め派
岡崎 真悠子	左ルー・ルー攻め派
芳賀 耕司	手前ルー・ルー攻め派
菅原 丈雄	左ルー・ルー攻め派
神田 未華子	奥ルー・混ぜ混ぜ派
岸部 桃子	ぶっかけ・ルー攻め派
豊島 咲	右ルー・別口派
塚本 れいな	別盛り・混ぜ混ぜ派
畑 優一	手前ルー・せき止め派
浅田 圭	手前ルー・せき止め派
西本 マサカズ	左ルー・混ぜ混ぜ派
橋爪 真奈美	別盛り・別口派
河村 美智子	ぶっかけ・せき止め派
武田 佑	手前ルー・ルー攻め派
若杉 賢二	左ルー・ルー攻め派
竹田 莉緒	左ルー・ルー攻め派
阪口 六郎	手前ルー・せき止め派
深田 ひろみ	ぶっかけ・混ぜ混ぜ派
金井 薫	左ルー・せき止め派
安井 勇一	ぶっかけ・混ぜ混ぜ派
大泉 瞬	奥ルー・せき止め派
柳川 建	左ルー・混ぜ混ぜ派
池内 光洋	ぶっかけ・混ぜ混ぜ派
前島 美嘉	右ルー・ルー攻め派
水上 亮介	左ルー・別口派
長谷部 雄太	右ルー・せき止め派
風間 麻由子	左ルー・せき止め派
藤澤 直人	手前ルー・ルー攻め派
吉永 まさし	左ルー・混ぜ混ぜ派
志田 恵子	ぶっかけ・ルー攻め派
菊池 右京	ぶっかけ・混ぜ混ぜ派
佐川 莉緒	左ルー・せき止め派
高松 砂羽	ぶっかけ・せき止め派
松下 瞬	ぶっかけ・混ぜ混ぜ派
北山 知世	奥ルー・混ぜ混ぜ派
石野 勇一	左ルー・せき止め派
西川 正義	ぶっかけ・せき止め派
木村 新太	左ルー・混ぜ混ぜ派
高崎 薫	奥ルー・せき止め派
小峰 満	ぶっかけ・混ぜ混ぜ派
森山 正義	奥ルー・せき止め派
柄本 だん吉	左ルー・せき止め派
安座間 未來	右ルー・せき止め派
篠原 夏空	ぶっかけ・せき止め派
石井 早紀	ぶっかけ・別口派
大高 優	ぶっかけ・ナン派
百瀬 惇	右ルー・せき止め派
井田 一輝	左ルー・ナン派
池畑 まひる	左ルー・ルー攻め派
松居 真吾	奥ルー・せき止め派
前原 理紗	右ルー・ルー攻め派
渡部 明	右ルー・せき止め派
大河内 ヒカル	ぶっかけ・せき止め派
伊集院 沙知絵	左ルー・せき止め派
一青 昌代	ぶっかけ・せき止め派
正木 徹	右ルー・ルー攻め派
一青 崇史	左ルー・ナン派
寺本 亜希	奥ルー・ルー攻め派
武井 有海	奥ルー・ルー攻め派
松本 涼	ぶっかけ・ルー攻め派
久保 恵梨香	右ルー・別口派
和泉 薫	左ルー・ナン派
岩永 知史	左ルー・せき止め派
石崎 直人	左ルー・混ぜ混ぜ派
谷川 小雁	左ルー・別口派
小出 大五郎	左ルー・別口派
曽根 麻緒	手前ルー・混ぜ混ぜ派
松尾 三郎	奥ルー・せき止め派
石田 有海	ぶっかけ・ナン派
森山 哲平	左ルー・ナン派
豊田 精児	手前ルー・せき止め派
原 まなみ	ぶっかけ・別口派
横田 未來	奥ルー・混ぜ混ぜ派
山下 丈史	左ルー・ルー攻め派
岸田 なつみ	左ルー・ルー攻め派
五味 聡	ぶっかけ・せき止め派
国分 ヒロ	左ルー・混ぜ混ぜ派
片岡 ケンイチ	奥ルー・ナン派
森井 幸平	左ルー・混ぜ混ぜ派
須藤 麻由子	奥ルー・混ぜ混ぜ派
今井 はじめ	左ルー・せき止め派
千田 大五郎	左ルー・せき止め派
沖 遥	奥ルー・混ぜ混ぜ派
岩間 沙知絵	左ルー・ルー攻め派
相沢 夏空	左ルー・混ぜ混ぜ派
浜本 真一	ぶっかけ・ナン派
高柳 光良	ぶっかけ・ルー攻め派
横田 まみ	左ルー・混ぜ混ぜ派
貫地谷 美優	右ルー・別口派
河村 あさみ	奥ルー・別口派
桜井 南朋	奥ルー・ルー攻め派
石坂 茜	左ルー・せき止め派
進藤 亮	右ルー・混ぜ混ぜ派
岡 菜摘	右ルー・せき止め派
鹿賀 薫	右ルー・ルー攻め派
池上 あき	ぶっかけ・せき止め派
入江 幸子	左ルー・別口派
保坂 サンタマリア	左ルー・せき止め派
小笠原 陽子	ぶっかけ・混ぜ混ぜ派
満島 三郎	奥ルー・混ぜ混ぜ派
一青 育子	手前ルー・ルー攻め派
古賀 まなみ	左ルー・ルー攻め派
中田 米蔵	手前ルー・せき止め派
国分 ひとり	左ルー・混ぜ混ぜ派
牧野 和之	左ルー・別口派
今野 あい	ぶっかけ・せき止め派
今泉 ひろ子	左ルー・ルー攻め派
森永 蒼甫	ぶっかけ・ルー攻め派
玉木 芳正	手前ルー・せき止め派
進藤 有起哉	奥ルー・混ぜ混ぜ派
岩佐 剛基	左ルー・ルー攻め派
田村 恵子	ぶっかけ・せき止め派
上村 優	左ルー・混ぜ混ぜ派
菊地 千夏	奥ルー・ナン派
西沢 陽子	左ルー・せき止め派
矢作 翔太	奥ルー・混ぜ混ぜ派
金谷 ジローラモ	左ルー・混ぜ混ぜ派
吉田 努	ぶっかけ・別口派
本山 明宏	左ルー・別口派
寺尾 樹里	ぶっかけ・せき止め派
立花 聡	ぶっかけ・せき止め派
武田 徹	奥ルー・せき止め派
橋本 瑠璃亜	奥ルー・せき止め派
大坪 晴臣	左ルー・別口派
星野 獅童	ぶっかけ・混ぜ混ぜ派
北条 六郎	ぶっかけ・せき止め派
亀井 浩介	右ルー・ルー攻め派
島津 法子	奥ルー・別口派
大西 知世	別盛り・せき止め派
岩崎 完爾	手前ルー・せき止め派
黒谷 朝陽	ぶっかけ・別口派
長田 かおり	ぶっかけ・せき止め派
川越 守	奥ルー・ルー攻め派
新井 友香	右ルー・ルー攻め派
大槻 俊二	ぶっかけ・せき止め派
古山 瞬	ぶっかけ・混ぜ混ぜ派
越智 和久	奥ルー・ルー攻め派
藤崎 瞬	左ルー・混ぜ混ぜ派
志賀 陽介	手前ルー・せき止め派
川原 夏空	ぶっかけ・別口派
深井 みゆき	ぶっかけ・ナン派
村松 誠治	左ルー・せき止め派
伊藤 浩正	左ルー・混ぜ混ぜ派
守屋 光	ぶっかけ・混ぜ混ぜ派
川辺 遥	左ルー・ルー攻め派
玉田 優	奥ルー・ナン派
山内 綾女	左ルー・別口派
柳川 和香	右ルー・ルー攻め派
横尾 優	奥ルー・ルー攻め派
佐川 仁晶	ぶっかけ・ルー攻め派
安藤 薫	右ルー・ルー攻め派
新垣 未來	奥ルー・ルー攻め派
吉井 七世	ぶっかけ・ルー攻め派
安井 徹	ぶっかけ・ナン派
北沢 一樹	右ルー・せき止め派
岩本 剛基	左ルー・別口派
真鍋 貴美子	右ルー・別口派
高柳 妃里	右ルー・混ぜ混ぜ派
関口 光	ぶっかけ・混ぜ混ぜ派
立川 さやか	右ルー・ナン派
松山 克実	奥ルー・ナン派
緒方 和香	左ルー・別口派
末吉 恵望子	右ルー・混ぜ混ぜ派
金田 宏行	左ルー・別口派
石黒 コウ	奥ルー・別口派
藤島 広之	奥ルー・別口派
高野 竜也	左ルー・せき止め派
宮島 未華子	右ルー・混ぜ混ぜ派
小寺 智花	ぶっかけ・せき止め派
小泉 茜	別盛り・混ぜ混ぜ派
和泉 高史	奥ルー・せき止め派
加瀬 建	手前ルー・せき止め派
宮島 碧海	別盛り・せき止め派
五大 あおい	左ルー・せき止め派
近藤 悟志	ぶっかけ・別口派
真田 俊二	左ルー・別口派
西 賢二	ぶっかけ・別口派
田川 希	ぶっかけ・混ぜ混ぜ派
真田 愛梨	右ルー・混ぜ混ぜ派
北条 宏	右ルー・混ぜ混ぜ派
栗山 一	右ルー・せき止め派
佐々木 妃里	ぶっかけ・せき止め派
平田 充則	ぶっかけ・せき止め派
北村 ちえみ	左ルー・せき止め派
大田 さやか	右ルー・せき止め派
梅沢 杏	右ルー・ルー攻め派
今村 啓介	右ルー・ルー攻め派
金森 正敏	右ルー・ルー攻め派
沼田 恵美	手前ルー・ルー攻め派
山瀬 米蔵	ぶっかけ・せき止め派
藤本 亮	ぶっかけ・ナン派
役所 知世	ぶっかけ・せき止め派
平田 一	手前ルー・混ぜ混ぜ派
浅見 雅彦	右ルー・ナン派
野際 恵梨香	ぶっかけ・混ぜ混ぜ派
田上 惇	ぶっかけ・せき止め派
望月 優	左ルー・混ぜ混ぜ派
池上 まなみ	右ルー・別口派
堀田 美佳	ぶっかけ・別口派
紺野 隆博	右ルー・別口派
坂元 ひとみ	別盛り・混ぜ混ぜ派
浜野 勝久	奥ルー・せき止め派
三田 美和子	ぶっかけ・ルー攻め派
大谷 雅彦	右ルー・ルー攻め派
余 禄郎	奥ルー・混ぜ混ぜ派
飯野 明慶	ぶっかけ・せき止め派
片桐 守	手前ルー・ルー攻め派
塚田 美優	右ルー・せき止め派
高田 有海	左ルー・せき止め派
矢口 さやか	ぶっかけ・ルー攻め派
哀川 明慶	ぶっかけ・混ぜ混ぜ派
松沢 隆博	奥ルー・混ぜ混ぜ派
堤 ひかり	ぶっかけ・別口派
藤木 さゆり	ぶっかけ・ルー攻め派
富岡 明慶	ぶっかけ・せき止め派
塩見 良介	ぶっかけ・ルー攻め派
平岡 裕司	ぶっかけ・混ぜ混ぜ派
田上 ヒロ	奥ルー・ルー攻め派
北川 建	右ルー・ルー攻め派
板垣 竜也	左ルー・せき止め派
草村 広司	ぶっかけ・ナン派
赤坂 彩	左ルー・ルー攻め派
天野 建	左ルー・ルー攻め派
長谷部 愛菜	右ルー・ルー攻め派
吉田 明日	ぶっかけ・せき止め派
佐川 大	手前ルー・せき止め派
前田 米蔵	右ルー・混ぜ混ぜ派
林 光	ぶっかけ・ルー攻め派
北山 麻由子	右ルー・混ぜ混ぜ派
古山 三省	左ルー・混ぜ混ぜ派
丸田 茜	ぶっかけ・別口派
川西 しぼり	ぶっかけ・せき止め派
市田 里穂	奥ルー・混ぜ混ぜ派
坂井 光	右ルー・せき止め派
